field title,field author,field isbn,field isbn13,field asin,field num_pages,field avg_rating,field num_ratings,field date_pub,field date_pub_edition,field rating,field shelves,field review,field notes,field comments,field votes,field read_count,field date_started,field date_read,field date_added,field owned,field format,field actions
"title    
      Five Survive","author      Jackson, Holly
        *",isbn    0593374169,isbn13    9780593374160,asin    0593374169,"num pages      
        388
        pp",avg rating    4.08,"num ratings    202,705","date pub      Nov 29, 2022","date pub edition      Nov 29, 2022",Jessica's rating,"my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    0","date started
    
        
          
      not set","date read
    
        
          
      not set","date added
    
    Oct 26, 2022",owned,"format
        Hardcover","actions
        
          view"
"title    
      The Martian","author      Weir, Andy
        *",isbn    0804139024,isbn13    9780804139021,asin    0804139024,"num pages      
        384
        pp",avg rating    4.42,"num ratings    1,191,423","date pub      Sep 27, 2011","date pub edition      Feb 11, 2014","Jessica's rating
        really liked it","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Sep 29, 2022","date read
    
            
                  
      Sep 30, 2022","date added
    
    Sep 29, 2022",owned,"format
        Hardcover","actions
        
          view"
"title    
      The Boy Is Back
        (Boy, #4)","author      Cabot, Meg
        *",isbn    0062378864,isbn13    9780062378866,asin    B01B19O4FK,"num pages      
        368
        pp",avg rating    3.61,"num ratings    8,525","date pub      Oct 18, 2016","date pub edition      Oct 18, 2016",Jessica's rating,"my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Sep 27, 2022","date read
    
            
                  
      Sep 27, 2022","date added
    
    Sep 27, 2022",owned,"format
        Kindle Edition","actions
        
          view"
"title    
      Size 12 and Ready to Rock
        (Heather Wells, #4)","author      Cabot, Meg
        *",isbn    0061734780,isbn13    9780061734786,asin    0061734780,"num pages      
        361
        pp",avg rating    3.86,"num ratings    13,540","date pub      Jun 03, 2013","date pub edition      Jul 10, 2012","Jessica's rating
        liked it","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Sep 26, 2022","date read
    
            
                  
      Sep 27, 2022","date added
    
    Sep 26, 2022",owned,"format
        Paperback","actions
        
          view"
"title    
      The Bride Wore Size 12
        (Heather Wells, #5)","author      Cabot, Meg
        *",isbn    0061734799,isbn13    9780061734793,asin    0061734799,"num pages      
        392
        pp",avg rating    3.91,"num ratings    12,096","date pub      Sep 24, 2013","date pub edition      Sep 24, 2013","Jessica's rating
        liked it","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Sep 27, 2022","date read
    
            
                  
      Sep 30, 2022","date added
    
    Sep 26, 2022",owned,"format
        Paperback","actions
        
          view"
"title    
      Big Boned
        (Heather Wells, #3)","author      Cabot, Meg
        *",isbn    0060525134,isbn13    9780060525132,asin    0060525134,"num pages      
        280
        pp",avg rating    3.84,"num ratings    23,571","date pub      Nov 20, 2007","date pub edition      Nov 20, 2007",Jessica's rating,"my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Sep 21, 2022","date read
    
            
                  
      Sep 26, 2022","date added
    
    Sep 21, 2022",owned,"format
        Paperback","actions
        
          view"
"title    
      Size 14 Is Not Fat Either
        (Heather Wells, #2)","author      Cabot, Meg
        *",isbn    0060525126,isbn13    9780060525125,asin    0060525126,"num pages      
        344
        pp",avg rating    3.84,"num ratings    31,631","date pub      Nov 08, 2006","date pub edition      Nov 28, 2006","Jessica's rating
        liked it","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Sep 20, 2022","date read
    
            
                  
      Sep 21, 2022","date added
    
    Sep 20, 2022",owned,"format
        Paperback","actions
        
          view"
"title    
      Size 12 Is Not Fat
        (Heather Wells, #1)","author      Cabot, Meg
        *",isbn    0060525118,isbn13    9780060525118,asin    0060525118,"num pages      
        345
        pp",avg rating    3.77,"num ratings    89,589","date pub      Dec 27, 2005","date pub edition      Dec 27, 2005","Jessica's rating
        liked it","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Sep 20, 2022","date read
    
            
                  
      Sep 20, 2022","date added
    
    Sep 20, 2022",owned,"format
        Paperback","actions
        
          view"
"title    
      No Words
        (Little Bridge Island, #3)","author      Cabot, Meg
        *",isbn    0062890107,isbn13    9780062890108,asin    0062890107,"num pages      
        384
        pp",avg rating    3.43,"num ratings    11,062","date pub      Oct 12, 2021","date pub edition      Oct 12, 2021","Jessica's rating
        really liked it","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Sep 2022","date read
    
            
                  
      Sep 02, 2022","date added
    
    Sep 01, 2022",owned,"format
        ebook","actions
        
          view"
"title    
      No Offense
        (Little Bridge Island, #2)","author      Cabot, Meg
        *",isbn    0063007126,isbn13    9780063007123,asin    0063007126,"num pages      
        340
        pp",avg rating    3.22,"num ratings    14,822","date pub      Aug 11, 2020","date pub edition      Aug 11, 2020",Jessica's rating,"my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Aug 29, 2022","date read
    
            
                  
      Sep 2022","date added
    
    Aug 29, 2022",owned,"format
        Hardcover","actions
        
          view"
"title    
      No Judgements
        (Little Bridge Island #1)","author      Cabot, Meg
        *",isbn    0349424179,isbn13    9780349424170,asin    0349424179,"num pages      
        384
        pp",avg rating    3.36,"num ratings    19,554","date pub      Sep 24, 2019","date pub edition      Sep 24, 2019","Jessica's rating
        really liked it","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Aug 29, 2022","date read
    
            
                  
      Aug 29, 2022","date added
    
    Aug 29, 2022",owned,"format
        Paperback","actions
        
          view"
"title    
      Monday Mourning
        (Temperance Brennan, #7)","author      Reichs, Kathy
        *",isbn    0743453018,isbn13    9780743453011,asin    0743453018,"num pages      
        383
        pp",avg rating    4.04,"num ratings    35,474","date pub      Jun 14, 2004","date pub edition      Jun 01, 2005",Jessica's rating,"my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Aug 26, 2022","date read
    
            
                  
      Aug 26, 2022","date added
    
    Aug 26, 2022",owned,"format
        Mass Market Paperback","actions
        
          view"
"title    
      The First to Know","author      Johnson, Abigail
        *",isbn    1335007946,isbn13    9781335007940,asin    1335007946,"num pages      
        336
        pp",avg rating    3.76,num ratings    916,"date pub      Nov 07, 2017","date pub edition      Nov 07, 2017","Jessica's rating
        liked it","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Aug 24, 2022","date read
    
            
                  
      Aug 25, 2022","date added
    
    Aug 24, 2022",owned,"format
        Hardcover","actions
        
          view"
"title    
      The Evolution Of Desire: Strategies of Human Mating","author      Buss, David M.",isbn    046500802X,isbn13    9780465008025,asin    046500802X,"num pages      
        354
        pp",avg rating    4.16,"num ratings    3,696",date pub      1994,"date pub edition      Jun 26, 2003",Jessica's rating,"my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Aug 19, 2022","date read
    
            
                  
      Sep 2022","date added
    
    Aug 19, 2022",owned,"format
        Paperback","actions
        
          view"
"title    
      Bare Bones
        (Temperance Brennan, #6)","author      Reichs, Kathy
        *",isbn    074345300X,isbn13    9780743453004,asin    074345300X,"num pages      
        416
        pp",avg rating    3.97,"num ratings    40,255","date pub      Jul 01, 2003","date pub edition      Jun 01, 2004",Jessica's rating,"my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Aug 18, 2022","date read
    
            
                  
      Aug 19, 2022","date added
    
    Aug 18, 2022",owned,"format
        Mass Market Paperback","actions
        
          view"
"title    
      Grave Secrets
        (Temperance Brennan, #5)","author      Reichs, Kathy
        *",isbn    0684859734,isbn13    9780684859736,asin    0684859734,"num pages      
        315
        pp",avg rating    3.98,"num ratings    35,808","date pub      Jul 09, 2002","date pub edition      Jul 09, 2002","Jessica's rating
        really liked it","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    2","date started
    
            
                  
      Aug 18, 2022


            
            
                  
      Aug 17, 2022","date read
    
            
                  
      Aug 18, 2022


            
            
                  
      Aug 18, 2022","date added
    
    Aug 17, 2022",owned,"format
        Hardcover","actions
        
          view"
"title    
      Fatal Voyage
        (Temperance Brennan, #4)","author      Reichs, Kathy
        *",isbn    1416510567,isbn13    9781416510567,asin    1416510567,"num pages      
        448
        pp",avg rating    4.05,"num ratings    52,214","date pub      Jul 17, 2001","date pub edition      Apr 26, 2005",Jessica's rating,"my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Aug 17, 2022","date read
    
            
                  
      Aug 17, 2022","date added
    
    Aug 17, 2022",owned,"format
        Mass Market Paperback","actions
        
          view"
"title    
      Deadly Decisions
        (Temperance Brennan, #3)","author      Reichs, Kathy
        *",isbn    0671028367,isbn13    9780671028367,asin    0671028367,"num pages      
        368
        pp",avg rating    3.94,"num ratings    37,993","date pub      Jul 25, 2000","date pub edition      Jul 01, 2001",Jessica's rating,"my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Aug 16, 2022","date read
    
            
                  
      Aug 16, 2022","date added
    
    Aug 16, 2022",owned,"format
        Mass Market Paperback","actions
        
          view"
"title    
      Death du Jour
        (Temperance Brennan, #2)","author      Reichs, Kathy
        *",isbn    0671011375,isbn13    9780671011376,asin    0671011375,"num pages      
        451
        pp",avg rating    3.96,"num ratings    49,154","date pub      May 18, 1999",date pub edition      May 2006,Jessica's rating,"my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Aug 16, 2022","date read
    
            
                  
      Aug 16, 2022","date added
    
    Aug 16, 2022",owned,"format
        Mass Market Paperback","actions
        
          view"
"title    
      Girl on the Run","author      Johnson, Abigail
        *",isbn    0593179811,isbn13    9780593179819,asin    0593179811,"num pages      
        272
        pp",avg rating    3.67,"num ratings    1,303","date pub      Oct 06, 2020","date pub edition      Oct 06, 2020","Jessica's rating
        liked it","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Aug 10, 2022","date read
    
            
                  
      Aug 11, 2022","date added
    
    Aug 10, 2022",owned,"format
        Paperback","actions
        
          view"
"title    
      If I Fix You","author      Johnson, Abigail
        *",isbn    0373212402,isbn13    9780373212408,asin    0373212402,"num pages      
        328
        pp",avg rating    3.69,"num ratings    4,013","date pub      Oct 25, 2016","date pub edition      Oct 25, 2016",Jessica's rating,"my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Aug 09, 2022","date read
    
            
                  
      Aug 11, 2022","date added
    
    Aug 09, 2022",owned,"format
        Hardcover","actions
        
          view"
"title    
      Death of an Expert Witness
        (Adam Dalgliesh, #6)","author      James, P.D.",isbn    0571204201,isbn13    9780571204205,asin    0571204201,"num pages      
        306
        pp",avg rating    3.94,"num ratings    14,310",date pub      1977,"date pub edition      May 20, 2002",Jessica's rating,"my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Aug 04, 2022","date read
    
            
                  
      Aug 04, 2022","date added
    
    Aug 04, 2022",owned,"format
        Paperback","actions
        
          view"
"title    
      The Black Tower
        (Adam Dalgliesh, #5)","author      James, P.D.",isbn    0743219619,isbn13    9780743219617,asin    0743219619,"num pages      
        346
        pp",avg rating    3.95,"num ratings    19,788",date pub      1975,"date pub edition      Oct 02, 2001","Jessica's rating
        liked it","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Aug 02, 2022","date read
    
            
                  
      Aug 03, 2022","date added
    
    Aug 02, 2022",owned,"format
        Paperback","actions
        
          view"
"title    
      Shroud for a Nightingale
        (Adam Dalgliesh, #4)","author      James, P.D.",isbn    0743219600,isbn13    9780743219600,asin    0743219600,"num pages      
        368
        pp",avg rating    4.03,"num ratings    26,669",date pub      1971,"date pub edition      Sep 11, 2001",Jessica's rating,"my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Aug 2022","date read
    
            
                  
      Aug 02, 2022","date added
    
    Aug 01, 2022",owned,"format
        Paperback","actions
        
          view"
"title    
      Unnatural Causes
        (Adam Dalgliesh, #3)","author      James, P.D.",isbn    0571204104,isbn13    9780571204106,asin    0571204104,"num pages      
        218
        pp",avg rating    3.89,"num ratings    16,750",date pub      1967,"date pub edition      May 20, 2002",Jessica's rating,"my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Aug 2022","date read
    
            
                  
      Aug 2022","date added
    
    Aug 01, 2022",owned,"format
        Paperback","actions
        
          view"
"title    
      A Mind to Murder
        (Adam Dalgliesh, #2)","author      James, P.D.",isbn    0743219589,isbn13    9780743219587,asin    0743219589,"num pages      
        256
        pp",avg rating    3.80,"num ratings    14,869",date pub      1963,"date pub edition      Jun 05, 2001",Jessica's rating,"my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Jul 29, 2022","date read
    
            
                  
      Aug 02, 2022","date added
    
    Jul 29, 2022",owned,"format
        Paperback","actions
        
          view"
"title    
      Cover Her Face
        (Adam Dalgliesh, #1)","author      James, P.D.",isbn    0743219570,isbn13    9780743219570,asin    B001KTB3M4,"num pages      
        250
        pp",avg rating    3.91,"num ratings    40,208",date pub      1962,"date pub edition      May 08, 2001","Jessica's rating
        really liked it","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Jul 29, 2022","date read
    
            
                  
      Jul 29, 2022","date added
    
    Jul 29, 2022",owned,"format
        Paperback","actions
        
          view"
"title    
      Y is for Yesterday
        (Kinsey Millhone, #25)","author      Grafton, Sue",isbn    0399163859,isbn13    9780399163852,asin    0399163859,"num pages      
        483
        pp",avg rating    4.01,"num ratings    35,836","date pub      Aug 22, 2017","date pub edition      Aug 22, 2017",Jessica's rating,"my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Jul 21, 2022","date read
    
            
                  
      Jul 26, 2022","date added
    
    Jul 21, 2022",owned,"format
        Hardcover","actions
        
          view"
"title    
      X
        (Kinsey Millhone, #24)","author      Grafton, Sue",isbn    0399163840,isbn13    9780399163845,asin    0399163840,"num pages      
        403
        pp",avg rating    3.92,"num ratings    36,429","date pub      Aug 25, 2015","date pub edition      Aug 25, 2015",Jessica's rating,"my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Jul 20, 2022","date read
    
            
                  
      Jul 21, 2022","date added
    
    Jul 20, 2022",owned,"format
        Hardcover","actions
        
          view"
"title    
      Hide","author      White, Kiersten
        *",isbn    0593359232,isbn13    9780593359235,asin    0593359232,"num pages      
        240
        pp",avg rating    3.32,"num ratings    39,688","date pub      May 24, 2022","date pub edition      May 24, 2022",Jessica's rating,"my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Jul 19, 2022","date read
    
            
                  
      Jul 26, 2022","date added
    
    Jul 19, 2022",owned,"format
        Hardcover","actions
        
          view"
"title    
      My Fine Fellow","author      Cohen, Jennieke
        *",isbn    0063047535,isbn13    9780063047532,asin    0063047535,"num pages      
        352
        pp",avg rating    3.66,"num ratings    1,985","date pub      Jan 11, 2022","date pub edition      Jan 11, 2022",Jessica's rating,"my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
        
Enjoyable and pleasant, with an interesting twist on England in the 1830s. Not much conflict but sometimes that's relaxing.
  Enjoyable and pleasant, with an interesting twist on England in the 1830s. Not much conflict but sometimes that's relaxing.
  ...more","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Jul 14, 2022","date read
    
            
                  
      Jul 18, 2022","date added
    
    Jul 14, 2022",owned,"format
        Hardcover","actions
        
          view (with text)"
"title    
      W is for Wasted
        (Kinsey Millhone, #23)","author      Grafton, Sue",isbn    0399158987,isbn13    9780399158988,asin    0399158987,"num pages      
        486
        pp",avg rating    3.96,"num ratings    34,263","date pub      Sep 04, 2013","date pub edition      Sep 10, 2013",Jessica's rating,"my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Jul 12, 2022","date read
    
            
                  
      Jul 14, 2022","date added
    
    Jul 12, 2022",owned,"format
        Hardcover","actions
        
          view"
"title    
      V is for Vengeance
        (Kinsey Millhone, #22)","author      Grafton, Sue",isbn    0399157867,isbn13    9780399157868,asin    0399157867,"num pages      
        437
        pp",avg rating    4.00,"num ratings    32,956","date pub      Nov 01, 2011","date pub edition      Nov 14, 2011",Jessica's rating,"my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Jul 10, 2022","date read
    
            
                  
      Jul 12, 2022","date added
    
    Jul 10, 2022",owned,"format
        Hardcover","actions
        
          view"
"title    
      U is for Undertow
        (Kinsey Millhone, #21)","author      Grafton, Sue",isbn    039915597X,isbn13    9780399155970,asin    039915597X,"num pages      
        403
        pp",avg rating    4.01,"num ratings    33,097","date pub      Dec 01, 2009","date pub edition      Dec 01, 2009",Jessica's rating,"my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Jul 07, 2022","date read
    
            
                  
      Jul 08, 2022","date added
    
    Jul 07, 2022",owned,"format
        Hardcover","actions
        
          view"
"title    
      T is for Trespass
        (Kinsey Millhone, #20)","author      Grafton, Sue",isbn    0399154485,isbn13    9780399154485,asin    0399154485,"num pages      
        387
        pp",avg rating    3.99,"num ratings    30,758","date pub      Dec 04, 2007","date pub edition      Dec 04, 2007",Jessica's rating,"my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
        
Probably the most stressful read in the series for me","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Jul 05, 2022","date read
    
            
                  
      Jul 07, 2022","date added
    
    Jul 05, 2022",owned,"format
        Hardcover","actions
        
          view (with text)"
"title    
      S is for Silence
        (Kinsey Millhone, #19)","author      Grafton, Sue",isbn    0425212696,isbn13    9780425212691,asin    0425212696,"num pages      
        352
        pp",avg rating    3.95,"num ratings    30,070","date pub      Jan 01, 2005","date pub edition      Nov 28, 2006",Jessica's rating,"my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      not set","date read
    
            
                  
      not set","date added
    
    Jul 05, 2022",owned,"format
        Mass Market Paperback","actions
        
          view"
"title    
      R is for Ricochet
        (Kinsey Millhone, #18)","author      Grafton, Sue",isbn    1101147032,isbn13    9781101147030,asin    B000OZ0NYY,"num pages      
        390
        pp",avg rating    3.98,"num ratings    35,968","date pub      Jul 13, 2004","date pub edition      Mar 29, 2005",Jessica's rating,"my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Jul 2022","date read
    
            
                  
      Jul 03, 2022","date added
    
    Jul 01, 2022",owned,"format
        Kindle Edition","actions
        
          view"
"title    
      Q is for Quarry
        (Kinsey Millhone, #17)","author      Grafton, Sue",isbn    0739429337,isbn13    9780739429334,asin    0739429337,"num pages      
        618
        pp",avg rating    3.96,"num ratings    30,003","date pub      Oct 14, 2002",date pub edition      2002,"Jessica's rating
        really liked it","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Jun 29, 2022","date read
    
            
                  
      Jul 2022","date added
    
    Jun 29, 2022",owned,"format
        Paperback","actions
        
          view"
"title    
      O is for Outlaw
        (Kinsey Millhone, #15)","author      Grafton, Sue",isbn    0449003787,isbn13    9780449003787,asin    0449003787,"num pages      
        354
        pp",avg rating    3.97,"num ratings    30,437","date pub      Sep 01, 1999","date pub edition      Jan 02, 2001",Jessica's rating,"my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Jun 28, 2022","date read
    
            
                  
      Jun 28, 2022","date added
    
    Jun 28, 2022",owned,"format
        Mass Market Paperback","actions
        
          view"
"title    
      P is for Peril
        (Kinsey Millhone, #16)","author      Grafton, Sue",isbn    0449003795,isbn13    9780449003794,asin    0449003795,"num pages      
        370
        pp",avg rating    3.89,"num ratings    29,241","date pub      Oct 27, 2000","date pub edition      May 28, 2002",Jessica's rating,"my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Jun 28, 2022","date read
    
            
                  
      Jun 29, 2022","date added
    
    Jun 28, 2022",owned,"format
        Mass Market Paperback","actions
        
          view"
"title    
      N is for Noose
        (Kinsey Millhone, #14)","author      Grafton, Sue",isbn    0330348779,isbn13    9780330348775,asin    0330348779,"num pages      
        353
        pp",avg rating    3.99,"num ratings    37,733","date pub      May 15, 1998","date pub edition      Jan 01, 1999",Jessica's rating,"my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Jun 25, 2022","date read
    
            
                  
      Jun 27, 2022","date added
    
    Jun 25, 2022",owned,"format
        Paperback","actions
        
          view"
"title    
      M is for Malice
        (Kinsey Millhone, #13)","author      Grafton, Sue",isbn    0449223604,isbn13    9780449223604,asin    0449223604,"num pages      
        352
        pp",avg rating    4.10,"num ratings    71,729","date pub      Nov 15, 1996","date pub edition      Nov 26, 1997","Jessica's rating
        really liked it","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Jun 24, 2022","date read
    
            
                  
      Jun 25, 2022","date added
    
    Jun 24, 2022",owned,"format
        Mass Market Paperback","actions
        
          view"
"title    
      L is for Lawless
        (Kinsey Millhone, #12)","author      Grafton, Sue",isbn    1429911921,isbn13    9781429911924,asin    B009BIOLDE,"num pages      
        352
        pp",avg rating    3.94,"num ratings    34,731","date pub      Sep 15, 1995","date pub edition      Apr 01, 2010",Jessica's rating,"my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Jun 22, 2022","date read
    
            
                  
      Jun 23, 2022","date added
    
    Jun 22, 2022",owned,"format
        Kindle Edition","actions
        
          view"
"title    
      K is for Killer
        (Kinsey Millhone, #11)","author      Grafton, Sue",isbn    0449000664,isbn13    9780449000663,asin    0449000664,"num pages      
        292
        pp",avg rating    3.98,"num ratings    44,352","date pub      May 15, 1994","date pub edition      Jun 23, 1997",Jessica's rating,"my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Jun 21, 2022","date read
    
            
                  
      Jun 22, 2022","date added
    
    Jun 21, 2022",owned,"format
        Paperback","actions
        
          view"
